term,coef,se_clustered,se_naive,p_clustered,p_naive,odds_ratio,or_lo,or_hi
Intercept,-4.908937437870299,0.1402849421609257,0.14585603030423663,2.913609771168966e-268,2.543349925155577e-248,0.007380326221655845,0.005606151107060473,0.00971597341881518
"C(STORE_GRP, Treatment(reference='DashMart1'))[T.Grocery1]",0.7589115765456643,0.17937241498459777,0.18946611957659093,2.3273029688522422e-05,6.187947668086639e-05,2.1359501366183427,1.502827153794807,3.035800208027677
"C(STORE_GRP, Treatment(reference='DashMart1'))[T.Grocery2/3]",0.47848956633312556,0.2290349232639042,0.2333328815047085,0.036693729026628125,0.0402987493277876,1.6136352715438937,1.030031480672281,2.5279021451568404
unfulfilled_rate,0.7412648057273451,0.3986414118734922,0.48077579601894116,0.06295946081268429,0.12311983416639398,2.0985881429134268,0.960733710858459,4.584071677511542
n_items_requested,0.09839336433942526,0.025154073449248953,0.025599798286910377,9.167625286026363e-05,0.00012128157689966028,1.1033967366808237,1.050317276177906,1.1591586524676663
order_value,-0.007079443814822913,0.00518261228511474,0.005543034102543063,0.17193923995777793,0.2015392462174289,0.9929455564168405,0.9829105329799991,1.0030830324086186
DELIV_IS_20_MIN_LATE,0.8807953591402614,0.2374891862228456,0.2438140994977841,0.00020825953166022932,0.00030317790923427924,2.4128180003001236,1.5148631539044568,3.843047266393189
has_perishable,0.08494935237847433,0.16333504834748824,0.1686880061861339,0.6029990255412105,0.6145505239302855,1.0886619271648108,0.7904274058189026,1.4994226957886398
has_alcohol,0.17853465384222872,0.4186503228563054,0.4063706223777959,0.6697778449099481,0.6604155787505819,1.1954643099872655,0.5262363139486186,2.715766431491212
