"term","estimate_R","se_naive_R","se_clust_R","p_clust_R"
"(Intercept)",-4.90893743777854,0.145855217299103,0.140283308637338,2.87232742032741e-268
"unfulfilled_rate",0.741264805724749,0.480775461347836,0.398640854203836,0.0629590924264652
"n_items_requested",0.0983933643404459,0.0255997689705976,0.0251540135441101,9.167271602008e-05
"order_value",-0.00707944381495408,0.00554302841777951,0.00518260113378962,0.171938317417436
"DELIV_IS_20_MIN_LATE",0.8807953591232,0.243813676655601,0.23748837835012,0.000208249156692049
"STORE_GRPGrocery1",0.75891157648646,0.189465718565328,0.1793716365709,2.32711298759022e-05
"STORE_GRPGrocery2/3",0.478489566274149,0.233332544613304,0.229034276293304,0.036693197996956
"has_perishable",0.0849493523383458,0.168687326015787,0.163333700764805,0.60299603508474
"has_alcohol",0.178534653841352,0.406370479134961,0.418650027242656,0.66977762553319
