term,coef,se_clustered,se_naive,p_clustered,p_naive,odds_ratio,or_lo,or_hi
Intercept,-4.923643407657128,0.18215591196160413,0.18119329367193135,6.5945107477171005e-161,1.3387501816175096e-162,0.007272585524650456,0.005089058507055444,0.010392983326882219
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery1]",-1.4601953921843596,0.21698828877100976,0.17648439893981124,1.7039433089155018e-11,1.2976332268658264e-16,0.23219090200963366,0.15175549736472468,0.35525971653254385
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery2]",-1.6942682797643582,0.24032112500267055,0.22975770910722104,1.7889452640893418e-12,1.6539435030656435e-13,0.1837336214616811,0.11471677327430636,0.2942729532210898
"C(DELIV_STORE_NAME, Treatment(reference='DashMart1'))[T.Grocery3]",-2.9861401447002693,1.0450872447929418,1.0204941309314097,0.004272458790971805,0.0034316245898695637,0.05048191403843513,0.00650962449817837,0.3914855066827735
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Overnight(0-5)]",0.10892559149641245,0.22983999954847642,0.21345495307571308,0.6355575184211127,0.6098428485799385,1.1150793758667432,0.7106661354713957,1.7496289078958267
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Morning(6-10)]",-0.30195471560426457,0.21038941323564223,0.22288562456195596,0.1512249280295832,0.17549662725158022,0.7393715461251276,0.48952958076048425,1.1167257397810555
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Afternoon(15-17)]",-0.028600726709798484,0.19135497149546518,0.18529829798679803,0.8811873192535742,0.8773340543948279,0.9718044025560333,0.6678781187167842,1.414036139770236
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Evening(18-21)]",-0.18036193604690498,0.1621514884330578,0.16571940118277906,0.26600696932361356,0.27643736116900763,0.8349679517154956,0.6076397959711799,1.1473433521214547
"C(daypart, Treatment(reference='Midday(11-14)'))[T.Night(22-23)]",0.07784560999958884,0.19553145617995651,0.18751682375657722,0.6905393701344706,0.6780399037308573,1.0809557570266706,0.7368366877203043,1.5857860610391319
is_weekend[T.True],-0.18456605119830136,0.11921493978350184,0.11542380792082066,0.12157923636108155,0.10981409158656213,0.8314650188247836,0.6582154039557461,1.0503158591769728
DELIV_D2R,0.15122648225489546,0.010500019275095467,0.00880639742634999,4.990826401453822e-47,4.2779327545789184e-66,1.163260086017129,1.139565241587199,1.1874476145269772
DELIV_CLAT,0.1404745674182181,0.005301635029131404,0.00498283730132113,1.0646557637389358e-154,7.395236094516627e-175,1.1508198108737038,1.1389235406272453,1.1628403398967428
n_items_requested,-0.02012096566284347,0.021031369352061166,0.023645175849057586,0.338712586106228,0.39479470191163935,0.9800801100957037,0.9405018227872702,1.0213239346612863
order_value,0.017628936705264997,0.003737123733302761,0.004359051019890979,2.3905708643921837e-06,5.249887135448537e-05,1.0177852435669243,1.0103575809925,1.0252675107411038
