"term","estimate_R","se_naive_R","se_clust_R","p_clust_R"
"(Intercept)",-4.92364340663791,0.181192393158869,0.18215413597867,6.54763952524203e-161
"DELIV_D2R",0.151226482244376,0.00880636983810704,0.0104999536798034,4.98433234468815e-47
"DELIV_CLAT",0.140474567367406,0.00498281575519531,0.00530158897891047,1.05817411535504e-154
"DELIV_STORE_NAMEGrocery1",-1.46019539197786,0.176483884263829,0.216987030547462,1.70348646073726e-11
"DELIV_STORE_NAMEGrocery2",-1.69426827940637,0.229757179529105,0.240320005629389,1.78852315064018e-12
"DELIV_STORE_NAMEGrocery3",-2.98613652490927,1.01917549541805,1.04239177117082,0.00417408499771799
"n_items_requested",-0.0201209657156972,0.0236449015643461,0.0210309015567389,0.338701840974787
"order_value",0.0176289367129193,0.00435899554297107,0.0037370300930265,2.38918283310248e-06
"daypartAfternoon(15-17)",-0.0286007269994486,0.185296951725169,0.191352126407428,0.881185564627948
"daypartEvening(18-21)",-0.180361936907242,0.165718476922758,0.162149623078507,0.266001467243592
"daypartMorning(6-10)",-0.301954715577085,0.222884035543833,0.210386420622535,0.151219112480452
"daypartNight(22-23)",0.0778456095786567,0.187516247563387,0.195530310304704,0.690537651983168
"daypartOvernight(0-5)",0.10892559110321,0.213454442891196,0.22983895888287,0.635555989397535
"is_weekendTrue",-0.184566050784465,0.115423343476834,0.11921393003345,0.121576080937819
