"term","estimate_R","se_naive_R","se_clust_R","p_clust_R"
"(Intercept)",4.92998426258993,0.191781058546014,0.255050191937605,3.0353752447617e-83
"n_items_requested",0.042616208240999,0.0291459357174494,0.0336856228175592,0.20582987746761
"order_value",-0.0398984773789649,0.00605868368349605,0.00670018102780592,2.60333185692249e-09
"DELIV_STORE_NAMEGrocery1",0.400695553051398,0.170724159015359,0.334274448325324,0.230643719904147
"DELIV_STORE_NAMEGrocery2",1.33691059601779,0.234804384179124,0.397033378189644,0.000759218607977651
"DELIV_STORE_NAMEGrocery3",-0.0912501112673591,0.527816203396847,0.497811779928095,0.854560724175481
"daypartAfternoon(15-17)",0.188342131018906,0.219417950888976,0.234680411584136,0.422236438105032
"daypartEvening(18-21)",0.291514851969534,0.191228058051087,0.20576976447102,0.156569482016551
"daypartMorning(6-10)",0.0808940921812006,0.255352769809468,0.294549185753388,0.78359516980256
"daypartNight(22-23)",0.266282912527008,0.23173263968141,0.281646437701417,0.344428664080048
"daypartOvernight(0-5)",0.753244244941609,0.288777489418077,0.378105925644455,0.0463544499891876
"is_weekendTrue",0.0686610856782986,0.135769310130419,0.147347939446962,0.641230336904574
